area_type,availability,location,size,bath,balcony,price
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2,1,54
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,3,2,100
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,3,3,176
Built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,1,1,42
Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,3,1,125
Super built-up  Area,18-?.?.,JP Nagar,4 BHK,4,0,314.5
Built-up  Area,Ready To Move,Mahaganapathy Nagar,2 BHK,2,3,67
Built-up  Area,18-?.?.,Huskur,2 BHK,2,1,31.48
Plot  Area,Ready To Move,Ramagondanahalli,1 Bedroom,1,0,30
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,2,60
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,2,2,85
Super built-up  Area,Ready To Move,Belathur,2 BHK,2,1,53
Built-up  Area,Ready To Move,Kattigenahalli,7 Bedroom,7,2,125
Built-up  Area,Ready To Move,Ulsoor,2 BHK,2,,120
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,2,2,68.48
Built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,2,2,86
Super built-up  Area,18-??.?.,Panathur,2 BHK,2,1,86
Super built-up  Area,18-?.?.,Chandapura,2 BHK,2,1,25.4
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,3,70
Built-up  Area,Ready To Move,Gunjur,3 BHK,3,3,75
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,2,84
Super built-up  Area,18-?.?.,Whitefield,2 BHK,2,2,62
Plot  Area,Ready To Move,Andrahalli,4 Bedroom,4,3,235
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,3,1,95
Built-up  Area,Ready To Move,HBR Layout,3 BHK,2,0,200
Plot  Area,Ready To Move,R.T. Nagar,2 Bedroom,2,1,120
Built-up  Area,Ready To Move,Vittal Nagar,2 BHK,2,1,50
Built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,5,2,480
Built-up  Area,18-?.?.,Electronic City Phase II,3 BHK,2,1,38.13
Super built-up  Area,Ready To Move,2Electronic City Phase II,27 BHK,27,0,230
Super built-up  Area,Ready To Move,Ardendale,4 BHK,4,2,160
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,1,50
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,1,30
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,2,1,37
Super built-up  Area,Ready To Move,Kambipura,2 BHK,2,1,39
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,,,48.145
Super built-up  Area,Ready To Move,Brookefield,3 BHK,3,3,88
Built-up  Area,Ready To Move,Whitefield,2 BHK,2,0,85
Built-up  Area,Ready To Move,3rd Block Banashankari,4 Bedroom,2,1,550
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,2,0,35
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,2,3,57
Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,1,0,230
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,2,132
Super built-up  Area,Ready To Move,Anekal,1 BHK,1,1,16.5
Built-up  Area,Ready To Move,Jnanabharathi Layout,4 Bedroom,3,2,142
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2,1,44
Plot  Area,Ready To Move,Kadarenahalli,10 Bedroom,10,,90
Super built-up  Area,18-?.?.,EPIP Zone,2 BHK,2,1,93.36
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,2,1,42.47
Built-up  Area,Ready To Move,JP Nagar,2 BHK,2,2,45
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,2,2,72
Plot  Area,18-?.?.,Whitefield,3 Bedroom,3,2,68.5
Super built-up  Area,Ready To Move,Laggere,1 BHK,1,1,48
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,2,1,39
Super built-up  Area,19-??.?.,Hosa Road,3 BHK,3,1,115
Plot  Area,Ready To Move,Victoria Layout,5 Bedroom,5,1,625
Plot  Area,Ready To Move,Prithvi Layout,4 Bedroom,4,3,162
Super built-up  Area,19-??.?.,Mysore Road,2 BHK,2,1,45.47
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,2,40
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,1,62
Built-up  Area,18-?.?.,Bannerghatta,3 Bedroom,3,1,239
Super built-up  Area,Ready To Move,Domlur,3 BHK,2,2,150
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,2,1,42.6
Built-up  Area,Ready To Move,Sanjay nagar,3 BHK,3,2,180
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,2,2,98.86
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,2,1,72
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,2,2,100
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,2,330
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,2,2,75
Plot  Area,Ready To Move,Subramanyanagar,8 Bedroom,6,2,200
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,1,74.16
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,2,2,95
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,3,1,160
Built-up  Area,Ready To Move,Hebbal,2 BHK,2,2,50
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,3,2,56
Super built-up  Area,18-?.?.,Hebbal,2 BHK,2,2,55
Super built-up  Area,19-?.?.,Binny Pete,4 BHK,,,204
Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,2,2,40
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,2,136
Plot  Area,Ready To Move,1 Ramamurthy Nagar,11 Bedroom,11,0,170
Plot  Area,Ready To Move,Kadugondanahalli,6 Bedroom,6,2,66
Plot  Area,Ready To Move,Banashankari Stage II,4 Bedroom,2,1,150
Super built-up  Area,18-?.?.,Old Airport Road,4 BHK,4,,207
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,3,2,85
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,3,,95
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,3,1,330
Plot  Area,Immediate Possession,IVC Road,,,,124
Carpet  Area,Ready To Move,Jaya Mahal layout,3 BHK,3,3,175
Built-up  Area,Ready To Move,BSM Extension,2 BHK,2,2,27
Built-up  Area,Ready To Move,Jigani,2 BHK,2,2,47
Super built-up  Area,19-??.?.,Hennur Road,3 BHK,2,2,83.73
Super built-up  Area,17-?.?.,Kundalahalli,3 BHK,3,2,127
Super built-up  Area,Ready To Move,Vijinapura,3 BHK,3,3,91.86
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,2,3,53
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,2,1,55
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,0,65
Super built-up  Area,Ready To Move,Jigani,2 BHK,2,2,55
Super built-up  Area,Ready To Move,P&T Layout,2 BHK,2,3,39.7
Built-up  Area,18-?.?.,Electronic City Phase II,3 BHK,3,1,35.23
Built-up  Area,Ready To Move,Electronic City,3 BHK,2,1,75
Plot  Area,Ready To Move,Brookefield,4 Bedroom,4,2,240
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,2,72
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,108
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,2,1,26
Super built-up  Area,Ready To Move,Hennur,2 BHK,2,1,57
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,2,2,55
Plot  Area,18-??.?.,SBM Colony,10 Bedroom,10,,475
Super built-up  Area,Ready To Move,Veerannapalya,3 BHK,3,,57
Built-up  Area,Ready To Move,Chowdeshwari Layout,3 BHK,2,1,80
Super built-up  Area,Ready To Move,JP Nagar,1 BHK,1,1,44
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2,2,44
Super built-up  Area,21-?.?.,Kanakpura Road,3 BHK,3,3,81.94
Built-up  Area,Ready To Move,Whitefield,2 BHK,2,2,58
Plot  Area,Ready To Move,Mathikere Extension,4 Bedroom,2,1,67.5
Super built-up  Area,18-?.?.,Horamavu Agara,2 BHK,2,3,39
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,0,70
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,3,1,120
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2,1,55
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,4,2,172
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,2,1,75
Built-up  Area,Ready To Move,Chikkalasandra,2 Bedroom,1,1,128
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,3,64.5
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,3,110
Built-up  Area,Ready To Move,Sarjapur,4 BHK,2,2,65
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1,1,40
Built-up  Area,Ready To Move,Jalahalli,3 BHK,3,,110
Plot  Area,Ready To Move,Anantapura,3 Bedroom,4,,160
Super built-up  Area,Ready To Move,Domlur,3 BHK,3,3,86
Super built-up  Area,17-?.?.,Babusapalaya,3 BHK,2,2,39.98
Super built-up  Area,18-?.?.,Bommasandra,2 BHK,2,1,41.73
Super built-up  Area,Ready To Move,Kengeri,3 BHK,2,2,38
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,4,2,285
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,3,1,76
Super built-up  Area,Ready To Move,Nagarbhavi,1 BHK,2,2,36
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,2,46
Super built-up  Area,19-?.?.,Hoodi,2 BHK,2,1,60.87
Plot  Area,Ready To Move,Shivaji Nagar,7 Bedroom,6,3,200
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,2,2,50
Plot  Area,Ready To Move,Hebbal Kempapura,2 Bedroom,2,1,125
Super built-up  Area,18-?.?.,Old Airport Road,4 BHK,4,3,191
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,2,1,58
Plot  Area,Ready To Move,Hosa Road,3 Bedroom,3,2,72.5
Super built-up  Area,Ready To Move,Chamrajpet,4 BHK,2,1,170
Plot  Area,17-?.?.,Banashankari,3 Bedroom,3,1,100
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,2,2,65.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,3,135
Super built-up  Area,Ready To Move,Whitefield,4 BHK,4,2,312
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,2,2,115
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,3,,92
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,6,1,195
Built-up  Area,Ready To Move,JP Nagar,3 BHK,3,2,250
Super built-up  Area,19-??.?.,Hebbal,4 BHK,4,3,198
Super built-up  Area,20-?.?.,Badavala Nagar,3 BHK,2,2,94.55
Super built-up  Area,18-?.?.,Hennur Road,3 BHK,2,1,87
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,2,3,50
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,47.39
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2,2,71.5
Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,2,0,120
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,2,2,150
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,3,2,65
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,2,2,55
Built-up  Area,Ready To Move,Hormavu,2 BHK,2,2,50
Super built-up  Area,Ready To Move,Belatur,2 BHK,2,2,58
Super built-up  Area,19-??.?.,Yelahanka,4 BHK,,,173
Built-up  Area,Ready To Move,Arekere,2 BHK,2,2,55
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,2,119
Super built-up  Area,18-?.?.,Lalbagh Road,4 BHK,4,3,367
Built-up  Area,Ready To Move,Frazer Town,3 BHK,3,,95.45
Super built-up  Area,18-??.?.,Basavangudi,3 BHK,4,3,292
Plot  Area,Ready To Move,Kamakya Layout,2 Bedroom,2,2,150
Super built-up  Area,20-?.?.,Domlur,2 BHK,2,1,217
Plot  Area,Ready To Move,Vignana Nagar,5 Bedroom,4,1,130
Super built-up  Area,Ready To Move,Kogilu,2 BHK,2,1,50.66
Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,2,2,65
Plot  Area,Ready To Move,Kamakshipalya,3 Bedroom,2,1,60
Super built-up  Area,18-?.?.,Chinnapanahalli,2 BHK,2,2,48
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,2,2,28
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,2,1,58
Built-up  Area,Ready To Move,TC Palaya,4 Bedroom,2,1,50
Plot  Area,Ready To Move,Lingarajapuram,2 Bedroom,2,1,80
Super built-up  Area,Ready To Move,Anekal,2 BHK,2,1,40
Built-up  Area,Ready To Move,Yelachenahalli,4 Bedroom,3,1,220
Built-up  Area,Ready To Move,3rd Block HBR Layout,3 Bedroom,3,1,100
Built-up  Area,Ready To Move,Frazer Town,3 BHK,2,1,75
Plot  Area,Ready To Move,Kasavanhalli,5 Bedroom,7,,1200
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,3 BHK,3,1,110
Plot  Area,Ready To Move,Yeshwanthpur,3 Bedroom,2,1,130
Plot  Area,Ready To Move,Gottigere,2 Bedroom,2,0,95
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,0,55
Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,3,0,145
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,2,2,65.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,6 BHK,7,,450
Super built-up  Area,18-?.?.,Bannerghatta,4 BHK,6,2,250
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,2,74.5
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,2,2,135
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2,2,75
Plot  Area,Ready To Move,Sahakara Nagar,4 Bedroom,4,,130
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,2,1,110
Built-up  Area,Ready To Move,New Gurappana Palya,7 BHK,7,3,106
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,2,3,73
Super built-up  Area,18-?.?.,Old Airport Road,4 BHK,4,3,199
Super built-up  Area,Ready To Move,Harlur,2 BHK,2,1,76
Super built-up  Area,19-?.?.,Old Madras Road,3 BHK,3,1,58.99
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,3,3,185
Super built-up  Area,18-??.?.,Kengeri Satellite Town,2 BHK,2,1,25
Plot  Area,Ready To Move,Nelamangala,3 Bedroom,2,1,140
Super built-up  Area,18-?.?.,Kengeri,2 BHK,2,1,31
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,2,2,106
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,2,45
Built-up  Area,Ready To Move,Nagavarapalya,2 BHK,2,0,37
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,1,77
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,1,39.71
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2,2,52
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,3,2,85
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,1,125
Plot  Area,Ready To Move,Hormavu,2 Bedroom,2,0,67
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,3,2,90
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2,2,32.5
Built-up  Area,Ready To Move,Domlur,1 BHK,1,0,55
Super built-up  Area,18-?.?.,Electronic City Phase II,2 BHK,2,1,44
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,3,98
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,64
Plot  Area,Ready To Move,Hongasandra,2 Bedroom,2,0,42
Plot  Area,Ready To Move,Harappanahalli,2 Bedroom,2,1,95
Built-up  Area,Ready To Move,Basapura,2 BHK,2,2,42
Built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,2,3,53.55
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,2,2,54.39
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,2,2,63
Built-up  Area,19-??.?.,Hennur Road,4 Bedroom,4,3,294
Super built-up  Area,18-?.?.,Chennammana Kere,2 BHK,2,2,56.87
Super built-up  Area,Ready To Move,Jigani,2 BHK,2,2,46
Super built-up  Area,18-??.?.,Bommasandra Industrial Area,2 BHK,2,1,41
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,1,101
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,1,45
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,4,1,83
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,2,2,55
Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,3,1,215
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,2,140
Built-up  Area,Ready To Move,Tasker Town,2 BHK,2,0,106
Super built-up  Area,Ready To Move,Govindpura,3 BHK,3,,75
Plot  Area,17-?.?.,Hormavu,2 Bedroom,3,0,70
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,4,0,131
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,3,223
Built-up  Area,19-??.?.,NR Colony,2 BHK,2,1,40.05
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,2,58
Super built-up  Area,Ready To Move,Agara Village,3 BHK,3,2,120
Super built-up  Area,Ready To Move,Begur Road,3 BHK,3,2,60
Super built-up  Area,Ready To Move,Shettigere,1 BHK,1,1,26
Plot  Area,Ready To Move,Chikkasandra,9 Bedroom,9,3,120
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,2,3,42
Plot  Area,Ready To Move,Kothannur,6 Bedroom,6,1,135
Super built-up  Area,18-??.?.,Kenchanehalli R R Nagar,3 BHK,2,2,45.12
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 Bedroom,2,0,100
Super built-up  Area,18-??.?.,Kumara Park,3 BHK,3,3,207
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,3,1,90
Plot  Area,Ready To Move,BEL Road,2 Bedroom,2,0,110
Built-up  Area,Ready To Move,Arekere,1 BHK,1,1,28
Plot  Area,Ready To Move,Varthur,4 Bedroom,2,1,110
Super built-up  Area,18-?.?.,Koramangala,3 BHK,3,2,88
Built-up  Area,Ready To Move,Kanakpura Road,4 Bedroom,6,2,225
Super built-up  Area,Ready To Move,GM Palaya,2 BHK,2,1,36
Super built-up  Area,Ready To Move,Byagadadhenahalli,3 BHK,3,1,38
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,1,67
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,2,3,305
Plot  Area,Ready To Move,KR Puram,8 Bedroom,12,,110
Super built-up  Area,18-??.?.,Kudlu Gate,3 BHK,2,3,46.38
Built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,2,1,45
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,3,2,104
Super built-up  Area,Ready To Move,Kogilu,2 BHK,2,1,53.33
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,2,1,42.83
Super built-up  Area,18-?.?.,Banashankari Stage III,3 BHK,3,2,118
Super built-up  Area,Ready To Move,Doddabommasandra,3 BHK,2,3,70
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,2,2,60
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,2,2,45.95
Super built-up  Area,Ready To Move,Maruthi Layout,2 BHK,2,1,42
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,1,2,50
Super built-up  Area,Ready To Move,Sree Narayana Nagar,3 BHK,3,3,50
Super built-up  Area,19-?.?.,Kanakpura Road,2 BHK,2,1,107
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,1,1,62.5
Super built-up  Area,Ready To Move,Hoodi,2 BHK,2,2,50
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,3,2,126
Super built-up  Area,18-?.?.,Bhoganhalli,3 BHK,3,2,90.2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,2,57
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,2,2,56
Built-up  Area,Ready To Move,Hebbal,2 BHK,2,3,52
Plot  Area,18-?.?.,Sarjapur  Road,3 Bedroom,3,1,95
Super built-up  Area,18-?.?.,Tunganagara,3 BHK,2,2,54.21
Super built-up  Area,Ready To Move,Nagavara,4 BHK,3,3,120
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,2,2,75
Plot  Area,Ready To Move,BTM 2nd Stage,3 Bedroom,5,1,185
Plot  Area,Ready To Move,Hongasandra,8 Bedroom,12,0,120
Plot  Area,Ready To Move,Jalahalli East,3 Bedroom,2,1,80
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,3,29.99
Built-up  Area,Ready To Move,Remco Bhel Layout,3 BHK,2,1,110
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2,1,37
Plot  Area,Ready To Move,Chamrajpet,4 Bedroom,4,2,250
Plot  Area,Ready To Move,Magadi Road,4 Bedroom,2,2,93
Super built-up  Area,Ready To Move,Banashankari,3 BHK,3,2,115
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,3,2,130
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,2,37.93
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,1,139
Built-up  Area,Ready To Move,Jalahalli,2 BHK,1,1,80
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,2,2,82
Super built-up  Area,18-?.?.,Electronic City Phase II,3 BHK,2,2,40.43
Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,2,1,43.75
Super built-up  Area,20-??.?.,Vijayanagar,2 BHK,2,2,65
Plot  Area,Ready To Move,Basaveshwara Nagar,7 Bedroom,7,1,350
Built-up  Area,Ready To Move,Chokkasandra,2 BHK,2,1,33
Super built-up  Area,19-?.?.,Anekal,1 BHK,1,1,18
Super built-up  Area,18-?.?.,2nd Block Hrbr Layout,3 BHK,3,3,110
Super built-up  Area,19-?.?.,Kanakapura,3 BHK,3,3,97
Super built-up  Area,17-?.?.,Bellandur,4 BHK,4,3,109
Super built-up  Area,18-??.?.,Ananth Nagar,1 BHK,2,2,14
Built-up  Area,Ready To Move,Panduranga Nagar,1 BHK,1,0,20
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 BHK,2,1,38.5
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,4,3,332
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,1,145
Plot  Area,Ready To Move,Seegehalli,2 Bedroom,1,0,50
Super built-up  Area,Ready To Move,Abbigere,1 BHK,2,2,30
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3,1,94.99
Super built-up  Area,Ready To Move,Gottigere,3 BHK,2,2,55
Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,4,2,370
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,4,,240
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,3,3,105
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,3,2,88
Built-up  Area,Ready To Move,Amruthahalli,3 Bedroom,3,1,135
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,2,3,70
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,2,3,40
Built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,2,1,59
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,54
Built-up  Area,Ready To Move,Mahadevpura,4 Bedroom,4,1,230
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,2,2,70
Plot  Area,Ready To Move,Yeshwanthpur,2 Bedroom,1,0,70
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,4,3,154
Super built-up  Area,Ready To Move,Bellandur,3 BHK,2,2,98
Built-up  Area,Ready To Move,Banaswadi,7 Bedroom,6,1,830
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2,1,40
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,1,1,36.85
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,2,2,32
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3,2,125
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,6,2,235
Super built-up  Area,18-?.?.,Ramagondanahalli,3 BHK,3,1,62
Built-up  Area,Ready To Move,Sir M V Nagar,7 Bedroom,9,,120
Super built-up  Area,19-?.?.,Kanakpura Road,2 BHK,2,1,89
Plot  Area,Ready To Move,Bikasipura,6 Bedroom,4,2,280
Super built-up  Area,Ready To Move,Budigere,2 BHK,2,2,62
Super built-up  Area,18-?.?.,CV Raman Nagar,2 BHK,3,2,47
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,1 BHK,2,1,25
Super built-up  Area,19-?.?.,Binny Pete,2 BHK,2,1,86.28
Plot  Area,Ready To Move,Sidedahalli,3 Bedroom,2,2,85
Built-up  Area,Ready To Move,Marathahalli,4 BHK,4,2,220
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1,1,15
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1 BHK,1,1,26
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,1,55
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,3,2,120
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2,2,65
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,2,2,51.6
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2,1,57
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,,101
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,2,1,58
Built-up  Area,18-?.?.,Electronic City,2 BHK,2,1,29.6
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,2,43
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2,2,56.41
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,3,2,85
Super built-up  Area,17-?.?.,Kalkere,2 BHK,2,2,51
